category,price,date
Lifestyle,16,2020-11-05T20:16:59.000Z
Apparel,21,2020-11-05T21:10:27.000Z
Apparel,18,2020-11-05T21:10:27.000Z
Office,5,2020-11-05T21:10:27.000Z
Bags,96,2020-11-05T21:10:27.000Z
Lifestyle,16,2020-11-06T00:58:03.000Z
Gift Cards,25,2020-11-06T01:12:24.000Z
New,12,2020-11-06T01:13:54.000Z
Apparel,24,2020-11-06T01:15:18.000Z
Uncategorized Items,18,2020-11-06T01:15:18.000Z
Apparel,60,2020-11-06T01:15:18.000Z
Apparel,16,2020-11-06T01:17:25.000Z
Apparel,20,2020-11-06T01:17:25.000Z
Uncategorized Items,22,2020-11-06T01:45:57.000Z
Bags,96,2020-11-06T02:04:37.000Z
New,16,2020-11-06T02:23:11.000Z
Apparel,48,2020-11-06T02:23:11.000Z
New,12,2020-11-06T02:23:11.000Z
Uncategorized Items,18,2020-11-06T02:23:11.000Z
Apparel,92,2020-11-06T02:29:36.000Z
Accessories,3,2020-11-06T03:39:46.000Z
Apparel,14,2020-11-06T03:39:46.000Z
Campus Collection,7,2020-11-06T03:39:46.000Z
Writing Instruments,2,2020-11-06T03:39:46.000Z
Clearance,9,2020-11-06T03:39:46.000Z
Office,16,2020-11-06T04:02:22.000Z
Campus Collection,11,2020-11-06T04:04:10.000Z
Stationery,1,2020-11-06T04:04:10.000Z
Stationery,1,2020-11-06T04:12:15.000Z
Lifestyle,16,2020-11-06T04:12:15.000Z
Uncategorized Items,18,2020-11-06T04:12:15.000Z
Google,3,2020-11-06T04:12:15.000Z
Shop by Brand,1,2020-11-06T04:12:15.000Z
